run_id,protocol,n,seed,commit_hash,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu
casper-ffg-n25-uniform,casper-ffg,25,4,24a491a4,5000.000001000,5000.000001000,10.000000,77.300000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,5,24a491a4,5000.000001000,5000.000001000,10.000000,80.100000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,6,24a491a4,5000.000001000,5000.000001000,10.000000,80.700000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,7,24a491a4,5000.000001000,5000.000001000,10.000000,81.100000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,8,24a491a4,5000.000001000,5000.000001000,10.000000,82.250000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,9,24a491a4,5000.000001000,5000.000001000,10.000000,80.550000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,10,24a491a4,5000.000001000,5000.000001000,10.000000,78.000000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,11,24a491a4,5000.000001000,5000.000001000,10.000000,81.050000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,12,24a491a4,5000.000001000,5000.000001000,10.000000,78.150000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,13,24a491a4,5000.000001000,5000.000001000,10.000000,78.800000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,14,24a491a4,5000.000001000,5000.000001000,10.000000,77.650000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,15,24a491a4,5000.000001000,5000.000001000,10.000000,82.000000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,16,24a491a4,5000.000001000,5000.000001000,10.000000,82.400000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,17,24a491a4,5000.000001000,5000.000001000,10.000000,78.450000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,18,24a491a4,5000.000001000,5000.000001000,10.000000,79.600000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,19,24a491a4,5000.000001000,5000.000001000,10.000000,77.200000,29.280000,29.280000,122365.440000
pbft-n4,pbft,4,0,24a491a4,1000.000003000,1000.000004000,3.800000,92.850000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,1,24a491a4,1000.000003000,1000.000004000,3.800000,94.350000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,2,24a491a4,1000.000003000,1000.000004000,3.800000,95.100000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,3,24a491a4,1000.000003000,1000.000004000,3.800000,95.850000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,4,24a491a4,1000.000003000,1000.000004000,3.800000,92.650000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,5,24a491a4,1000.000003000,1000.000004000,3.800000,97.350000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,6,24a491a4,1000.000003000,1000.000004000,3.800000,97.050000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,7,24a491a4,1000.000003000,1000.000004000,3.800000,95.500000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,8,24a491a4,1000.000003000,1000.000004000,3.800000,97.500000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,9,24a491a4,1000.000003000,1000.000004000,3.800000,95.900000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,10,24a491a4,1000.000003000,1000.000004000,3.800000,92.300000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,11,24a491a4,1000.000003000,1000.000004000,3.800000,96.500000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,12,24a491a4,1000.000003000,1000.000004000,3.800000,92.500000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,13,24a491a4,1000.000003000,1000.000004000,3.800000,93.300000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,14,24a491a4,1000.000003000,1000.000004000,3.800000,91.400000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,15,24a491a4,1000.000003000,1000.000004000,3.800000,97.900000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,16,24a491a4,1000.000003000,1000.000004000,3.800000,97.600000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,17,24a491a4,1000.000003000,1000.000004000,3.800000,92.800000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,18,24a491a4,1000.000003000,1000.000004000,3.800000,95.800000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,19,24a491a4,1000.000003000,1000.000004000,3.800000,92.200000,7.500000,7.500000,38763.000000
pbft-n7,pbft,7,0,24a491a4,1000.000003000,1000.000004000,6.650000,92.850000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,1,24a491a4,1000.000003000,1000.000004000,6.650000,94.350000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,2,24a491a4,1000.000003000,1000.000004000,6.650000,95.100000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,3,24a491a4,1000.000003000,1000.000004000,6.650000,95.850000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,4,24a491a4,1000.000003000,1000.000004000,6.650000,92.650000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,5,24a491a4,1000.000003000,1000.000004000,6.650000,97.350000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,6,24a491a4,1000.000003000,1000.000004000,6.650000,97.050000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,7,24a491a4,1000.000003000,1000.000004000,6.650000,95.500000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,8,24a491a4,1000.000003000,1000.000004000,6.650000,97.500000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,9,24a491a4,1000.000003000,1000.000004000,6.650000,95.900000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,10,24a491a4,1000.000003000,1000.000004000,6.650000,92.300000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,11,24a491a4,1000.000003000,1000.000004000,6.650000,96.500000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,12,24a491a4,1000.000003000,1000.000004000,6.650000,92.500000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,13,24a491a4,1000.000003000,1000.000004000,6.650000,93.300000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,14,24a491a4,1000.000003000,1000.000004000,6.650000,91.400000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,15,24a491a4,1000.000003000,1000.000004000,6.650000,97.900000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,16,24a491a4,1000.000003000,1000.000004000,6.650000,97.600000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,17,24a491a4,1000.000003000,1000.000004000,6.650000,92.800000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,18,24a491a4,1000.000003000,1000.000004000,6.650000,95.800000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,19,24a491a4,1000.000003000,1000.000004000,6.650000,92.200000,13.714286,13.714286,44547.428571
pbft-n10,pbft,10,0,24a491a4,1000.000003000,1000.000004000,9.500000,92.850000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,1,24a491a4,1000.000003000,1000.000004000,9.500000,94.350000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,2,24a491a4,1000.000003000,1000.000004000,9.500000,95.100000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,3,24a491a4,1000.000003000,1000.000004000,9.500000,95.850000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,4,24a491a4,1000.000003000,1000.000004000,9.500000,92.650000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,5,24a491a4,1000.000003000,1000.000004000,9.500000,97.350000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,6,24a491a4,1000.000003000,1000.000004000,9.500000,97.050000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,7,24a491a4,1000.000003000,1000.000004000,9.500000,95.500000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,8,24a491a4,1000.000003000,1000.000004000,9.500000,97.500000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,9,24a491a4,1000.000003000,1000.000004000,9.500000,95.900000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,10,24a491a4,1000.000003000,1000.000004000,9.500000,92.300000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,11,24a491a4,1000.000003000,1000.000004000,9.500000,96.500000,19.800000,19.800000,47034.000000
pbft-n10,pbft,10,12,24a491a4,1000.000003000,1000.000004000,9.500000,92.500000,19.800000,19.800000,47034.000000
