run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,network_phase_id,e_delay_ms,slot_duration_ms,clipped_fraction,run_horizon_s,p_drop,finalized_instances,view_change_count,finalization_rate
casper-ffg-n10,casper-ffg,10,13,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,62671.591708176,62671.591708176,0.012000,2.982000,238.916667,238.916667,34911303.666667,1.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,2,0,0.050000
casper-ffg-n10,casper-ffg,10,14,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,15,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,16,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.007000,1.538000,284.857143,284.857143,58331507.428571,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,1,0,0.025000
casper-ffg-n10,casper-ffg,10,17,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.006000,1.462000,357.000000,357.000000,68979788.000000,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,1,0,0.025000
casper-ffg-n10,casper-ffg,10,18,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,19,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.015000,3.006000,122.000000,122.000000,26891572.800000,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p10,3000.000,12000.000,0.000000,1150.000,0.100000,2,0,0.050000
casper-ffg-n10,casper-ffg,10,0,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p20,3000.000,12000.000,0.000000,1150.000,0.200000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,1,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p20,3000.000,12000.000,0.000000,1150.000,0.200000,0,0,0.000000
casper-ffg-n10,casper-ffg,10,2,poisson,512,0.0,100.0,f54f540f-dirty,1000.0,nan,nan,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,delay-heavy-tail-loss-p20,3000.000,12000.000,0.000000,1150.000,0.200000,0,0,0.000000
